ville_dep,ville_arr,iuc_dep,iuc_arr,duree_min
Bruxelles,Amsterdam,8814001,8400058,110
Bruxelles,Anvers,8814001,8821006,34
Anvers,Rotterdam,8821006,8400530,36
Bruxelles,Liège,8814001,8841006,65
Liège,Cologne,8841006,8000207,89
Lille,Bruxelles,8722371,8814001,35
Lyon,Marseille,8772316,8775100,100
Madrid,Barcelone,7160000,7171300,156
Madrid,Seville,7160000,7150030,153
Seville,Cadix,7150030,7151000,84
Madrid ,Valence,7160000,7131000,122
Madrid,Malaga,7160000,7150200,168
Madrid,Saint-Jacques-de-Compostelle,7160000,7113000,181
Madrid,La Corogne,7160000,7111000,219
Saint-Jacques-de-Compostelle,Vigo,7113000,7115000,53
Cordoba,Malaga,7150100,7150200,57
Barcelone,Perpignan,7171300,8778110,82
Barcelone,Saragosse,7171300,7120000,87
Madrid,Saragosse,7160000,7120000,81
Madrid,Vitoria,7160000,7140000,182
Madrid,Valladolid,7160000,7110000,60
Turin,Milan,8300047,8300045,53
Milan,Venise,8300045,8300185,139
Milan,Bologne,8300045,8300048,115
Bologne,Florence,8300048,8300642,37
Florence,Rome,8300642,8300259,83
Rome,Naples,8300259,8300930,61
Naples,Rome,8300930,8300259,70
Paris,Lyon,8768600,8772316,120
Paris,Bordeaux,8768600,8758100,124
Paris,Lille,8768600,8722371,60
Paris,Londres,8768600,7032732,136
Paris,Bruxelles,8768600,8814001,82
Paris,Francfort,8768600,8000105,230
Paris,Rennes,8768600,8747100,85
Paris,Nantes,8768600,8748100,115
Rome,Florence,8300259,8300642,90
Rome,Milan,8300259,8300045,180
Zurich,Milan,8503000,8300045,190
Londres,Leeds,7032732,7051160,129
Newcastle,Leeds,7051412,7051160,85
Londres,Birmingham,7032732,7031081,96
Londres,Manchester,7032732,7011421,152
Londres,Liverpool,7032732,7021151,154
Londres,Lille,7032732,8722371,142
Londres,Bruxelles,7032732,8814001,177
Amsterdam,Rotterdam,8400058,8400530,68
Zurich,Bâle,8503000,8500010,131
Bâle,Strasbourg,8500010,8721202,77
Strasbourg,Paris,8721202,8768600,104
Genève,Paris,8501008,8768600,193
Berlin,Munich,8011160,8000261,230
Berlin,Hambourg,8011160,8002549,105
Francfort,Cologne,8000105,8000207,62
Cologne,Hanovre,8000207,8000152,161
Berlin,Hanovre,8011160,8000152,97
Francfort,Munich,8000105,8000261,226
Francfort,Hanovre,8000105,8000152,182
Francfort,Stuttgart,8000105,8000096,106
Francfort,Strasbourg,8000105,8721202,120
Vienne,Salzbourg,8100001,8100002,202
Salzbourg,Munich,8100002,8000261,91
Vienne,Graz,8100001,8100013,155
Vienne,Venise,8100001,8300185,453
Vienne,Budapest,8100001,5500001,169
Vienne,Prague,8100001,5400001,242
Salzbourg,Innsbruck,8100002,8100003,108
Innsbruck,Zurich,8100003,8503000,213
Prague,Berlin,5400001,8011160,250
Prague,Munich,5400001,8000261,333
Berlin,Poznan,8011160,5100047,157
Poznan,Lodz,5100047,5100038,200
Lodz,Varsovie,5100038,5100065,75
Varsovie,Katowice,5100065,5100022,145
Prague,Varsovie,5400001,5100065,470
Varsovie,Vilnius,5100065,2400000,452
Copenhague,Hambourg,8600020,8002549,380
Copenhague,Malmö,8600020,7400003,41
Malmö,Stockholm,7400003,7400002,266
Stockholm,Göteborg,7400002,7400001,209
Stockholm,Östersund,7400002,7400033,288
Malmö,Göteborg,7400003,7400001,147
Oslo,Trondheim,8400001,8400010,480
Oslo,Bergen,8400001,8400012,394
Oslo,Stockholm,8400001,7400002,324
